Time_Stamp,Input__NewOrder,Output__MAG1 Completed,Output__MAG2 Completed,Output__ReWork Completed,Emission,Grid
480.0,78.0,7.0,55.0,5.0,1624.84,3898.06
480.0,73.0,29.0,18.0,4.0,1979.43,2748.92
480.0,74.0,29.0,17.0,2.0,1832.5,2535.97
480.0,83.0,26.0,16.0,6.0,1961.7,2697.32
480.0,68.0,27.0,16.0,7.0,2236.6,2896.38
480.0,67.0,29.0,17.0,2.0,1827.43,2545.3
480.0,79.0,37.0,28.0,2.0,2408.98,3479.77
480.0,74.0,33.0,31.0,5.0,2524.73,3772.53
480.0,71.0,39.0,22.0,7.0,2737.59,3730.12
480.0,80.0,34.0,29.0,4.0,2514.34,3658.57
480.0,73.0,40.0,26.0,5.0,2717.52,3829.7
480.0,88.0,46.0,25.0,6.0,3013.42,4106.5
480.0,68.0,30.0,27.0,8.0,2447.42,3675.34
480.0,74.0,37.0,23.0,10.0,2865.95,3908.81
480.0,82.0,43.0,21.0,6.0,2873.38,3677.83
480.0,71.0,40.0,23.0,5.0,2616.91,3629.86
480.0,95.0,6.0,45.0,16.0,2039.92,4464.53
