Time_Stamp,Robot1__Grid,MAG1__Emission,MAG1__Grid,ReMAG__Emission,ReMAG__Grid,MAG2__Emission,MAG2__Grid,Robot2__Grid,Robot2_ready__Grid,MAG1_ready__Grid,Robot1_ready__Grid,MAG2_ready__Grid,ReMAG_ready__Grid,Robot1_Idle_to_ShutDown__Grid,Robot1_Restart_to_Idle__Grid,Robot2_Idle_to_ShutDown__Grid,Robot2_Restart_to_Idle__Grid,MAG1_Idle_to_ShutDown__Grid,MAG1_Restart_to_Idle__Grid,MAG2_Idle_to_ShutDown__Grid,MAG2_Restart_to_Idle__Grid,ReMAG_Idle_to_ShutDown__Grid,ReMAG_Restart_to_Idle__Grid
480.0,30.46,1472.11,1177.69,208.05,190.21,597.86,1619.21,292.32,2.23,5.38,0.38,17.33,3.01,3.58,2.8,4.08,3.0,10.81,32.0,48.27,65.0,55.46,12.8
480.0,64.26,1476.81,1181.45,389.63,356.23,847.79,2296.11,306.48,2.6,0.0,0.28,21.79,4.74,4.93,4.0,3.06,2.25,12.16,32.0,14.48,19.5,83.19,19.2
480.0,42.4,1445.24,1156.19,160.37,146.62,878.74,2379.93,340.95,1.56,5.0,0.0,33.55,10.58,4.03,3.2,1.02,0.75,13.51,40.0,14.48,19.5,55.46,9.6
480.0,26.66,950.71,760.56,402.18,367.71,906.19,2454.26,311.47,1.43,2.93,0.0,31.39,3.05,3.13,2.4,4.08,3.0,16.21,44.0,9.65,6.5,97.06,19.2
480.0,186.44,236.14,188.91,241.31,220.62,951.82,2577.84,48.71,6.48,14.22,1.11,11.96,0.0,0.0,0.0,18.58,4.5,18.0,8.0,6.58,32.5,55.66,19.2
480.0,182.7,46.98,37.58,281.74,257.59,939.51,2544.5,29.71,1.95,0.0,0.0,21.61,7.18,1.07,0.4,15.92,3.75,12.0,4.0,2.59,13.0,55.66,19.2
480.0,182.49,187.84,150.27,200.49,183.3,871.42,2360.1,24.62,1.92,0.02,0.31,16.7,0.0,1.07,0.4,10.62,2.25,24.0,12.0,6.46,32.5,47.71,16.0
480.0,185.54,192.37,153.9,362.59,331.51,965.81,2615.75,50.18,5.9,0.0,0.0,9.1,0.0,1.07,0.4,15.92,3.75,24.0,12.0,6.46,32.5,63.61,22.4
480.0,181.69,143.06,114.45,284.07,259.72,910.13,2464.95,39.24,0.0,0.0,2.06,21.81,6.1,0.0,0.0,18.58,5.25,24.0,12.0,5.17,26.0,52.34,19.2
480.0,0.0,239.61,191.69,367.85,336.32,1035.96,2805.71,331.87,0.52,2.56,0.0,21.76,14.41,0.94,0.0,2.09,3.0,23.03,16.0,0.0,0.0,47.8,19.2
480.0,0.0,329.32,263.46,440.7,402.93,1056.6,2861.61,329.63,0.74,0.0,0.0,4.31,5.21,0.94,0.0,1.57,2.25,32.25,24.0,8.44,6.5,55.76,19.2
480.0,3.72,337.01,269.61,320.04,292.61,1059.97,2870.76,339.54,0.0,3.19,0.0,5.17,3.87,1.88,0.4,1.04,1.5,27.64,20.0,8.44,6.5,47.8,16.0
480.0,0.0,237.91,190.33,278.81,254.91,1072.98,2905.99,336.59,0.28,0.0,0.0,14.82,0.0,0.94,0.0,2.61,3.75,27.64,20.0,0.0,0.0,63.73,22.4
480.0,0.0,185.96,148.77,359.09,328.31,1087.96,2946.56,332.95,0.5,0.0,0.0,12.01,10.33,0.94,0.0,2.09,3.0,18.43,16.0,0.0,0.0,52.56,19.2
