pareto_id,tau_robot1,tau_robot2,tau_mag1,tau_mag2,tau_remag,w_robot1,w_mag1,f_energy,f_emission,f_outputs_cost
55,15.11582378342458,12.059391522449705,11.631980946578352,19.33479462449665,17.520796005169327,0.9329044903570007,0.05139881989008033,0.7872829636135182,0.4567880082023556,-0.7344632768361582
56,6.296061475615644,10.423983970659172,6.278087837396255,3.6986416189902336,4.001423553799306,0.7952348253366668,0.8861497621928562,0.6990173725775496,0.9464039442746413,-0.788135593220339
57,10.845296266942356,9.556370136461505,1.7988442242004146,10.112092867692741,1.2464500427708316,0.7769652407015009,0.009330788240045323,0.9269176639465962,0.5468401608651497,-0.8531073446327684
58,3.1515482965398793,7.302146048800116,0.6984208667457699,9.916307385182353,0.19889496768189474,0.37108303479781557,0.5012736815472516,1.0552135582177078,1.0447907882807483,-1.0875706214689267
59,4.937667914614909,4.396616181065992,4.199975835131163,0.24131400333081565,0.31867143954182886,0.8075217054181806,0.4660059876192896,0.8670979414502923,0.7758763244531603,-0.8502824858757063
60,2.5364607144457922,7.374698754275373,3.861893670130489,8.084487692102527,0.4030844780119883,0.4134844113725895,0.4868731190303977,1.0328371225448478,1.0140724673164188,-1.0536723163841808
61,7.8214922687722295,8.129454284749814,1.2652320806645276,10.804862081731313,0.14802930758214572,0.9990686417150673,0.892278507189723,0.5717872844230959,0.8310394809859093,-0.6694915254237288
62,4.994517598504416,14.691543028184292,0.30442141719191784,7.824563809913241,5.709890626930617,0.42358676511849935,0.8727881334984879,0.7662497941448814,0.9877596291640919,-0.8107344632768362
63,4.934992172051757,11.586238377527446,1.1502734703048232,11.122113673506739,9.679875666500745,0.4796919976180237,0.4016095808399035,1.0222298212278622,0.8810285290719398,-1.0056497175141244
64,9.209467879528997,9.443673623843493,11.475676885925214,10.808587237413146,1.2464500427708316,0.9743693239310277,0.9498584407842132,0.597380184750067,0.8845709483532753,-0.6949152542372882
65,5.459177792396833,11.355262073309968,5.277152999454234,18.595838571883423,0.8540116901648808,0.5361760261281455,0.10992161116345855,1.024954470644625,0.7223355258413353,-0.9661016949152543
66,4.482254462595896,4.193948683586738,13.031011787997286,7.866113093178836,0.8995844950154046,0.9765351040463354,0.8956890736351478,0.6038141226936948,0.8511309650681359,-0.6977401129943502
67,7.878546652646703,8.476898697848814,4.091535677794721,16.25882583190138,0.8120429512777076,0.9814867136192366,0.42567330131930753,0.6989112552030072,0.6153905734795327,-0.6892655367231638
68,18.68249339071096,19.01193731568629,1.56796484488914,16.363102747739916,12.36276813309966,0.5458030814421877,0.5834180329918948,0.9839125188184062,1.051768976437004,-1.0141242937853108
69,4.890876854564464,9.93657903650876,15.99499874066281,15.731217363804156,0.215537865640544,0.7851478702110806,0.0186933269400245,0.8981603678373864,0.537404919654594,-0.8389830508474576
